country,Time period.1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Unnamed: 28
Greece,Median,48.3135824977211,46.8059829059829,46.8420625253756,41.8572640981108,41.9707183826608,43.7478468832857,43.6533658239415,44.499145434075,46.1560597102062,46.3361575026211,46.5362038743314,48.5823885576059,41.0770624324264,43.3286777595642,42.0775384615385,42.3215881846154,43.9385259391771,43.27803270745,45.5005822658459,50.1828848971147,50.8083429727999,48.969435117216,48.6058421290848,49.5279610503011,
Hungary,Mean,27.8633711401036,38.2896034154326,42.7372343880883,35.9063848733582,35.595314850634,35.1504686729156,35.6170004217053,34.3868122637547,34.1727954832479,34.2038164761937,34.7104159582908,36.2863270328484,39.6471827053021,40.1512637405409,40.2072555280025,39.6676980268154,39.0471098103225,40.1296472112017,40.1216441733488,37.8562257912831,37.2548066799488,35.122584606725,36.3990427051769,37.0431298549042,
Hungary,Median,36.4942610985488,50.0369022153838,56.9826544799763,46.7342131827869,47.2665655935075,46.3252684021033,47.669895507589,46.7433114246362,46.0,46.6627944161277,47.4193548387097,49.4958404457164,53.8961716332279,53.8612468329037,53.5572006732905,52.5,51.1950114842864,52.0616664627432,50.5955981829581,49.3704440026508,48.3551732526813,45.5343119102439,47.7315577193862,48.1550912597131,
Ireland,Mean,40.5140389016769,30.5494300700811,29.9342342551021,29.9150186683039,30.8380709094753,32.0188401355951,34.8447547578631,35.2682793778938,35.0427471252371,30.6865810241706,37.0165588734633,36.6973130013334,37.5225171296703,36.4770976639915,33.8440991385325,33.4043750267283,35.0017692037677,35.308565252327,38.9666329569939,38.33593315786,37.1514649743489,36.6262783650128,36.1508347949103,37.436078207095,
Ireland,Median,48.0056527115351,37.1943371943372,36.4564564564565,36.4256705383963,37.448018324259,38.4583128583129,42.125550660793,42.7253286343612,42.118495095407,37.6072627693773,45.335429769392,44.4287211740042,45.335429769392,44.6519810794012,40.4583723105706,39.2261376209086,42.3535142523399,42.1610412172353,49.6619864794592,48.8319485984868,47.8402861847642,47.1828414677197,46.6629337404827,48.3219058921192,
Israel,Mean,0.0,39.1085298868352,39.4398745295765,41.2173986119075,40.4467701934913,39.9004635860625,41.1455291364992,41.3748311629597,40.9923831335858,41.2986138150817,41.053815723532,41.5709134001024,41.5023656348412,42.0437979042633,41.0869504978687,42.3655630418149,43.0298852203357,43.7847541486055,44.3268713676011,44.2025589170252,42.4342492941746,41.3136171241045,40.0527280192492,38.8100924352123,
Israel,Median,0.0,53.8230730308652,54.2621262458472,55.1816677696889,54.072308690013,54.4163811388481,56.6270418890506,57.2952811088616,57.0075403408234,56.3464071418118,55.7588703837799,56.0019673974143,56.0810810810811,57.4866310160428,54.8539354509504,57.03125,57.6618792599805,58.0046403712297,58.0821917808219,58.8888888888889,54.5267489711934,53.1328320802005,51.4354066985646,49.8396235945441,
Japan,Mean,28.3854166666667,28.307560137457,28.6269430051813,29.1684997800264,29.5505117935024,29.3080652269722,29.6493564136707,29.765590446705,30.3579319487406,31.5529622980251,32.6315789473684,33.3029197080292,33.3032083145052,33.9221014492754,34.1510298755829,34.361591819222,35.1545516304348,36.220141141227,37.0888118971213,37.9410194145607,39.2147589879094,39.2965958058707,39.944693504755,40.2582931352802,
Japan,Median,32.2167487684729,32.1150097465887,32.5478645066274,33.0838323353293,33.5862417804755,33.4507042253521,33.8399189463019,34.0759493670886,34.6444780635401,36.1811631497684,37.3103087388802,38.1799163179916,38.3255330213209,39.0104166666667,39.287587971849,39.668754745634,40.3696185800604,41.5872155161574,42.6574039304043,43.6375636725059,45.1708302145709,44.9016784342871,45.6508794430194,46.0092774600905,
Korea,Mean,23.8126378506742,26.0886538192572,27.3128344247447,27.3020281155888,28.2200704636379,29.7768752488035,30.6206427537774,33.3539441776909,34.1325586118791,35.9051595396514,35.8628773698549,35.8172816769907,34.1068985925319,35.0598396154028,35.7132666377827,37.8322756784357,39.7214171078161,41.4274982782327,46.085161074193,49.4487014527035,49.5632424057791,48.8993697613711,47.8476744226733,48.1190404049832,
Korea,Median,28.7957815869418,31.805613836872,33.417813824346,33.9987895214942,35.3093684100444,37.2865420807569,38.9222222222222,42.8560452536472,43.603889457523,45.2,45.0684133915575,45.4789798532666,42.9439210408255,44.2186895292856,45.848,48.5925,50.4108,52.8369639542835,58.569780424265,62.6624775583483,62.4509957387599,61.362962962963,60.8628199014465,60.9451348893604,
Latvia,Mean,25.5027196165407,26.3228511284383,26.4979476991374,33.4539215636318,34.9195219368956,30.084881482636,27.4530938379703,28.5979201962261,31.5807488184358,36.9855001436323,38.228838009376,40.549744564575,39.1032747928064,37.3720264535159,39.4121269494135,41.4912070407816,40.6071728779538,38.6750786666031,37.55541537134,35.0336878986827,32.9873097168957,34.9313750922204,31.460276305454,34.6640656205967,
Latvia,Median,35.823503713412,36.975537092742,37.221494102228,43.3802594392371,45.2807279480037,39.0115688360504,35.5988857938719,36.6297284289012,40.4502930584897,47.3729843559434,48.9655172413793,50.6517986097916,48.8449735271305,46.6824237215299,49.2307692307692,51.8278052223006,50.7235338918507,48.3101019963024,46.7391304347826,43.8762809008279,41.7631013390643,43.989916637548,38.9382290562036,42.3070966742808,
Lithuania,Mean,37.8049980582072,37.3624067137408,36.1979407386404,34.7666118700856,35.9090789056307,35.1333943243744,33.7206567531255,31.6482755810636,32.6188633760238,34.1361471972091,39.7344257343143,38.6144849583429,38.4915227466443,44.4831958235861,41.3795946208918,41.915876674844,45.152573991615,43.3192408979923,41.1865595690351,40.7529818088456,40.4292134941232,38.7012254848718,38.4700414240659,39.2005315861512,
Lithuania,Median,47.2002862561681,46.6477022269042,45.1938434732104,43.4068011298016,44.8331937732541,43.8647362633919,41.9395465994962,39.3620544891282,40.569208085028,42.4563064292014,49.8279569892473,48.423523433601,48.2693257653929,55.7830326544209,51.1733800350263,51.8365901414638,55.8393539038194,53.5721047441725,49.6894409937888,49.1663519871666,48.7757423626095,46.6910147446167,46.4121032048251,47.2934015746159,
Luxembourg,Mean,44.7101600696351,45.7801722283591,44.9020460421042,45.7850915207391,45.0055428261356,45.3126356982367,44.9716054524722,45.2574550498033,44.5851996728743,45.3097891468106,45.6484013407886,46.0179795263705,45.7238145292656,45.1665394169467,44.6416262065384,44.226093085151,43.8832669394779,44.172787454971,43.3091207732873,43.9111375681211,42.6293363786745,43.4168897303542,43.0478575728708,44.9129933177936,
Luxembourg,Median,52.0211369555796,53.2661168207024,52.2444,53.271840512638,52.3648205122096,52.7221290150817,53.8214285714286,54.1635296267532,53.3589831937959,54.2261623888169,55.4146341463415,55.8632816200963,55.5061815856059,54.8296804254126,54.9956809674633,54.4837702483173,54.0614299588415,54.4181010583647,54.7154471544715,55.4760171576416,53.8566278929452,54.8515992298313,54.3853750453972,56.7417317311276,
Mexico,Mean,33.1048254644007,31.491881410956,30.854992623268,30.2461593436316,29.9339609355905,29.91514494247,29.0846049598646,28.2614654419028,28.6372277342457,28.3481651084841,26.5523949258496,27.052623300264,27.3126145367117,27.4911367447317,28.6629682919122,29.8756474376646,30.3250478272882,31.9902214792591,33.7001227204599,37.1080480634122,41.2846848816159,45.0377684837277,51.1325060816023,55.1608727190597,
Mexico,Median,,,,,,38.1248826774035,37.64,36.6599930076612,36.1674249285954,36.7580795103112,34.85625,36.2875,36.3252058120329,36.8200024546668,37.4742857142857,38.6623163662316,38.4411017480807,40.02,42.2164455702163,45.998796716807,51.3416666666667,56.68,63.0255287115244,68.3204627558625,
Netherlands,Mean,47.376632542646,47.8791491540052,42.3954653274153,42.2822252635943,41.5951665256755,40.7710673861027,42.4812013609321,42.0301751279984,42.0530663810415,42.2764630122151,40.6596103528181,40.3496276766678,40.335620794298,40.0324458381883,39.5245637995115,39.2898672085285,39.5692225352315,39.8795390862248,39.6464079058493,39.6927287350629,39.2236082728771,39.0430950215515,38.9865349672746,41.3398808070607,
Netherlands,Median,52.8536998886166,53.4143109059133,47.6676120934162,47.5402899047348,46.7677910265747,45.8412098979493,49.2555056914435,48.7325561403113,48.7590977683356,49.0181185513105,47.3341094295693,46.9732413891023,46.9569351998127,46.6039924041421,46.8971545110226,46.6186795265453,46.9501435241324,47.3183440010075,47.1251719394773,47.1802305729418,46.6226168165244,46.4080521571921,46.3408228059471,49.1380958299329,
New Zealand,Mean,45.1788963007884,44.9063231850117,45.6846950517837,46.0735859417902,46.7614533965245,47.2809667673716,49.1707317073171,49.3716337522442,50.5132591958939,51.4333194848359,50.6586826347305,50.3697936940444,51.0102935569958,50.5166051660517,50.8499095840868,51.0111576011158,51.3926630434783,51.8407960199005,52.3128820876039,54.9936788874842,55.5721541679116,57.1884057971015,57.1975916803503,56.8193384223919,
New Zealand,Median,50.3378378378378,51.1333333333333,51.591942820013,53.067678684377,53.2693461307738,54.4032444959444,56.0,57.3514077163712,59.05,59.0930787589499,58.8044485634847,58.8181818181818,59.4666666666667,59.1360691144708,59.855257556407,60.0574712643678,60.52,60.3707995365006,61.3955252180508,64.4444444444444,64.6506777893639,67.6148046607265,67.4193548387097,66.5375446960667,
Poland,Mean,32.6988775012201,34.2875188919718,34.0837743295363,34.9497597204019,34.7896576765237,33.878691141261,33.8717395153968,32.065775950668,34.838354367325,37.4553484906098,37.1666431494285,37.1056649111741,38.5037939071597,39.6260608359759,40.8986006835909,41.0950981456269,42.5604358188628,43.5991875911767,41.9682719863783,41.852756422538,45.2315507463206,43.9233600115456,42.9921385803739,44.5533249950895,
